Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;315
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;319
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;261
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;279
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;254
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;227
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;236
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;210
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;244
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;232
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;228
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;252
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;271
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;281
TOTAL NACIONAL;1.2.-Lesiones;2023;90.444
TOTAL NACIONAL;1.2.-Lesiones;2022;86.577
TOTAL NACIONAL;1.2.-Lesiones;2021;74.813
TOTAL NACIONAL;1.2.-Lesiones;2020;64.416
TOTAL NACIONAL;1.2.-Lesiones;2019;79.537
TOTAL NACIONAL;1.2.-Lesiones;2018;78.214
TOTAL NACIONAL;1.2.-Lesiones;2017;78.624
TOTAL NACIONAL;1.2.-Lesiones;2016;77.292
TOTAL NACIONAL;1.2.-Lesiones;2015;76.483
TOTAL NACIONAL;1.2.-Lesiones;2014;78.117
TOTAL NACIONAL;1.2.-Lesiones;2013;80.397
TOTAL NACIONAL;1.2.-Lesiones;2012;83.307
TOTAL NACIONAL;1.2.-Lesiones;2011;86.806
TOTAL NACIONAL;1.2.-Lesiones;2010;88.238
TOTAL NACIONAL;3.1.-Agresión sexual;2023;10.096
TOTAL NACIONAL;3.1.-Agresión sexual;2022;8.980
TOTAL NACIONAL;3.1.-Agresión sexual;2021;8.052
TOTAL NACIONAL;3.1.-Agresión sexual;2020;5.964
TOTAL NACIONAL;3.1.-Agresión sexual;2019;7.022
TOTAL NACIONAL;3.1.-Agresión sexual;2018;6.224
TOTAL NACIONAL;3.1.-Agresión sexual;2017;5.040
TOTAL NACIONAL;3.1.-Agresión sexual;2016;4.806
TOTAL NACIONAL;3.1.-Agresión sexual;2015;4.026
TOTAL NACIONAL;3.1.-Agresión sexual;2014;3.806
TOTAL NACIONAL;3.1.-Agresión sexual;2013;3.605
TOTAL NACIONAL;3.1.-Agresión sexual;2012;3.763
TOTAL NACIONAL;3.1.-Agresión sexual;2011;3.946
